date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:19	245488/245488	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:18%20GMT	https://www.lbpam.com/fr/tech-isr/trophees-de-l-innovation	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/tech-isr/trophees-de-l-innovation.html	(from https://www.lbpam.com/fr)
12:01:19	114294/114294	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:19%20GMT	https://www.lbpam.com/fr/tech-isr/tech-isr-lbp-am	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/tech-isr/tech-isr-lbp-am.html	(from https://www.lbpam.com/fr)
12:01:20	51380/51380	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:19%20GMT	https://www.lbpam.com/fr/actualite/tous-les-articles	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/actualite/tous-les-articles.html	(from https://www.lbpam.com/fr)
12:01:21	13382/13382	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Jan%202024%2011:01:20%20GMT	https://www.lbpam.com/fr/actualite/decryptage-marche	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/actualite/decryptage-marche	(from https://www.lbpam.com/fr)
12:01:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.lbpam.com/fr/actualite/portail-decryptage-marche/decryptages-marches-lbp-am	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/actualite/portail-decryptage-marche/decryptages-marches-lbp-am.20.delayed	(from https://www.lbpam.com/fr)
12:01:21	99844/99844	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:21%20GMT	https://www.lbpam.com/fr/actualite/portail-decryptage-marche/decryptages-marches-lbp-am	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/actualite/portail-decryptage-marche/decryptages-marches-lbp-am.html	(from https://www.lbpam.com/fr)
12:01:22	51956/51956	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:21%20GMT	https://www.lbpam.com/fr/publications/publications-rapports	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/publications/publications-rapports.html	(from https://www.lbpam.com/fr)
12:01:22	147018/147018	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:22%20GMT	https://www.lbpam.com/fr/espace-presse/communiques-de-presse	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/espace-presse/communiques-de-presse.html	(from https://www.lbpam.com/fr)
12:01:22	99577/99577	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:22%20GMT	https://www.lbpam.com/fr/carrieres/un-sens-aigu-du-collectif	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/carrieres/un-sens-aigu-du-collectif.html	(from https://www.lbpam.com/fr)
12:01:23	50937/50937	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:22%20GMT	https://www.lbpam.com/fr/carrieres/liste-des-postes	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/carrieres/liste-des-postes.html	(from https://www.lbpam.com/fr)
12:01:23	239374/239374	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:23%20GMT	https://www.lbpam.com/fr/nos-fonds/fund-finder	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/nos-fonds/fund-finder.html	(from https://www.lbpam.com/fr)
12:01:24	382674/382674	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2008:33:30%20GMT	https://lbpamprodcdn.azureedge.net/widgets-assets/bridge/js/v14/widget-dependencies.min.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/widgets-assets/bridge/js/v14/widget-dependencies.min.js	(from https://www.lbpam.com/fr)
12:01:25	71843/71843	---M--	200	added ('OK')	image/jpeg	etag:0x8DB77DADE49EBC7	https://lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/lb-banner-home-783c738e31e2bb7e192b5ca17a533d2ff3a8fca9-090d48d22340ae142bb467efa347aa68e0f67989.jpg	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/lb-banner-home-783c738e31e2bb7e192b5ca17a533d2ff3a8fca9-090d48d22340ae142bb467efa347aa68e0f67989.jpg	(from https://www.lbpam.com/fr)
12:01:25	26834/26834	---M--	200	added ('OK')	image/jpeg	etag:0x8DB6B3A88A2AE00	https://lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/image-eau-homepage-d2f0b586c12538268fd83390b10891f8d8522f6c.jpg	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/image-eau-homepage-d2f0b586c12538268fd83390b10891f8d8522f6c.jpg	(from https://www.lbpam.com/fr)
12:01:26	81118/81118	---M--	200	added ('OK')	image/jpeg	etag:0x8DB77DB8DC66092	https://lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/home-page-bg-chiffres-cles-optim-3fe57fc1120961930aa2ac1bd1c980c64607070c-c0216c864a6e5dceb4878c1732855db1a842f576.jpg	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/home-page-bg-chiffres-cles-optim-3fe57fc1120961930aa2ac1bd1c980c64607070c-c0216c864a6e5dceb4878c1732855db1a842f576.jpg	(from https://www.lbpam.com/fr)
12:01:26	42865/42865	---M--	200	added ('OK')	image/jpeg	etag:0x8DB72447B2365B1	https://lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/bg-expertises-section-optim-b4aa7a059eab46c26eb0150fbf9f33772f3a73ee.jpg	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/bg-expertises-section-optim-b4aa7a059eab46c26eb0150fbf9f33772f3a73ee.jpg	(from https://www.lbpam.com/fr)
12:01:26	93450/93450	---M--	200	added ('OK')	image/jpeg	etag:0x8DB77DCE3B9F3D2	https://lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/lb-bg-last-section-6fb89640260de4bfdaf85fb1a92d4ff2d040b2af-b0bb0ed34e505dce3f393b5f6dfc1a73bb19df8f.jpg	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/lb-bg-last-section-6fb89640260de4bfdaf85fb1a92d4ff2d040b2af-b0bb0ed34e505dce3f393b5f6dfc1a73bb19df8f.jpg	(from https://www.lbpam.com/fr)
12:01:26	45823/45823	---M--	200	added ('OK')	image/jpeg	etag:0x8DB6B3A8CA74D1C	https://lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/lb-recompense-eca97418a9303b1abf05a24f268f2fa677a65377.jpg	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/lb-recompense-eca97418a9303b1abf05a24f268f2fa677a65377.jpg	(from https://www.lbpam.com/fr)
12:01:26	23351/23351	---M--	200	added ('OK')	image/jpeg	etag:0x8DBD49828982284	https://lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/sans-titre-1-a8ba955328cdb5ce14bfd985b1b63f680146a56b.jpg	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/cmsmedia/data/shared/imageFolder/sans-titre-1-a8ba955328cdb5ce14bfd985b1b63f680146a56b.jpg	(from https://www.lbpam.com/fr)
12:01:27	99349/99349	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:27%20GMT	https://www.lbpam.com/fr/notre-identite/territoires	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/notre-identite/territoires.html	(from https://www.lbpam.com/fr)
12:01:27	122079/122079	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:27%20GMT	https://www.lbpam.com/fr/notre-identite/climat	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/notre-identite/climat.html	(from https://www.lbpam.com/fr)
12:01:27	57861/57861	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:27%20GMT	https://www.lbpam.com/fr/avertissement/tentatives-de-fraude	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/avertissement/tentatives-de-fraude.html	(from https://www.lbpam.com/fr)
12:01:28	13355/13355	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Jan%202024%2011:01:27%20GMT	https://www.lbpam.com/fr/notre-expertise/dette-privee	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/notre-expertise/dette-privee	(from https://www.lbpam.com/fr)
12:01:29	87573/87573	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:28%20GMT	https://www.lbpam.com/fr/actualite/articles/lbp-am-recoit-le-prix-de-la-finance-durable-de-l-agefi	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/actualite/articles/lbp-am-recoit-le-prix-de-la-finance-durable-de-l-agefi.html	(from https://www.lbpam.com/fr)
12:01:29	5073/5073	---M--	200	added ('OK')	image/png	etag:0x8DC0DD61A7810EE	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/img/lbpam-logo-footer.png	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/img/lbpam-logo-footer.png	(from https://www.lbpam.com/fr)
12:01:30	54004/54004	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:30%20GMT	https://www.lbpam.com/fr/contact/contact-lbp-am	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/contact/contact-lbp-am.html	(from https://www.lbpam.com/fr)
12:01:31	78222/78222	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:30%20GMT	https://www.lbpam.com/fr/mentions-legales/conditions-generales-d-utilisation-du-site	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/mentions-legales/conditions-generales-d-utilisation-du-site.html	(from https://www.lbpam.com/fr)
12:01:31	53540/53540	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:30%20GMT	https://www.lbpam.com/fr/mentions-legales/mentions-legales	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/mentions-legales/mentions-legales.html	(from https://www.lbpam.com/fr)
12:01:31	88224/88224	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:31%20GMT	https://www.lbpam.com/fr/donnees-personnelles/politique-de-protection-des-donnees-personnelles-lbp-am	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/donnees-personnelles/politique-de-protection-des-donnees-personnelles-lbp-am.html	(from https://www.lbpam.com/fr)
12:01:31	64435/64435	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Jan%202024%2011:01:31%20GMT	https://www.lbpam.com/fr/donnees-personnelles/informations-sur-les-cookies	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/fr/donnees-personnelles/informations-sur-les-cookies.html	(from https://www.lbpam.com/fr)
12:01:31	85656/85656	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2010:07:07%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/jquery.min.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/jquery.min.js	(from https://www.lbpam.com/fr)
12:01:33	36725/36725	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2010:07:07%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/bootstrap.min.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/bootstrap.min.js	(from https://www.lbpam.com/fr)
12:01:34	4894/4894	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2010:07:08%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/menuscript.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/menuscript.js	(from https://www.lbpam.com/fr)
12:01:34	202345/202345	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2010:38:22%20GMT	https://lbpamprodcdn.azureedge.net/widgets-assets/lbpam-searchbar-widget/0.2.9/lbpam-searchbar-widget.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/widgets-assets/lbpam-searchbar-widget/0.2.9/lbpam-searchbar-widget.js	(from https://www.lbpam.com/fr)
12:01:34	204603/204603	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2009:04:20%20GMT	https://lbpamprodcdn.azureedge.net/widgets-assets/lbpam-product-disclaimer/0.2.7/lbpam-product-disclaimer.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/widgets-assets/lbpam-product-disclaimer/0.2.7/lbpam-product-disclaimer.js	(from https://www.lbpam.com/fr)
12:01:35	1372/1372	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2010:07:07%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/bootstrap-hover-dropdown.min.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/bootstrap-hover-dropdown.min.js	(from https://www.lbpam.com/fr)
12:01:36	1761/1761	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2010:07:07%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/lb-searchbar.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/js/lb-searchbar.js	(from https://www.lbpam.com/fr)
12:01:37	244/244	---MC-	200	added ('OK')	application/javascript	etag:W/%2296a4acaf13d50aec3682dbde623ce841%22	https://www.lbpam.com/resources/js/views-number/incrementViewsNumber-96a4acaf13d50aec3682dbde623ce841.js	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/resources/js/views-number/incrementViewsNumber-96a4acaf13d50aec3682dbde623ce841.js	(from https://www.lbpam.com/fr)
12:01:38	2258/2258	---MC-	200	added ('OK')	application/javascript	etag:W/%22a3b894a723d31626186811cc20ac1446%22	https://www.lbpam.com/resources/js/header/header-a3b894a723d31626186811cc20ac1446.js	C:/Mes%20Sites%20Web/lbp/www.lbpam.com/resources/js/header/header-a3b894a723d31626186811cc20ac1446.js	(from https://www.lbpam.com/fr)
12:01:39	44342/44342	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2011:46:08%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-02-02-26429d4b/resources/js/owl.carousel.min.js?update=1683276983543	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-02-02-26429d4b/resources/js/owl.carousel.min7f65.js	(from https://www.lbpam.com/fr)
12:01:39	763/763	---M--	200	added ('OK')	text/javascript	etag:0x8DB6B3A93C192FF	https://lbpamprodcdn.azureedge.net/ui-kit/2023-02-02-26429d4b/resources/js/lb-carousel-init.js?update=1683276983543	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-02-02-26429d4b/resources/js/lb-carousel-init7f65.js	(from https://www.lbpam.com/fr)
12:01:41	278/278	---M--	200	added ('OK')	text/javascript	etag:0x8DB6B3AA3677A72	https://lbpamprodcdn.azureedge.net/ui-kit/2023-02-02-26429d4b/resources/js/lb-counter.js?update=1683276983543	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-02-02-26429d4b/resources/js/lb-counter7f65.js	(from https://www.lbpam.com/fr)
12:01:41	469389/469389	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Jan%202024%2010:41:02%20GMT	https://lbpamprodcdn.azureedge.net/widgets-assets/lbpam-insights/0.2.8/lbpam-insights.js?update=1683276983543	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/widgets-assets/lbpam-insights/0.2.8/lbpam-insights7f65.js	(from https://www.lbpam.com/fr)
12:01:42	139417/139417	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2008:33:30%20GMT	https://lbpamprodcdn.azureedge.net/widgets-assets/bridge/js/v14/bridgewidget.js	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/widgets-assets/bridge/js/v14/bridgewidget.js	(from https://www.lbpam.com/fr)
12:01:43	215/215	---M--	404	error ('The%20specified%20blob%20does%20not%20exist.')	application/xml	date:Wed,%2024%20Jan%202024%2011:01:42%20GMT	https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/owl.video.play.png	C:/Mes%20Sites%20Web/lbp/lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/owl.video.play.png	(from https://lbpamprodcdn.azureedge.net/ui-kit/2023-12-28-4b9e6f93/resources/css/custom-theme.css)
